,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
abcA,0.004713728908781335,0.15213176850107954,6.867805856164156e-05,0.007527961049476801,0.9402603112382736,0.9908213573773837,0.9802404189411883,0.11648412624184244,0.9998978385834038,0.6900515334903399,1.0,1.0,0.004569438857098803,1.0,5.297799713324096e-11
accA,0.9999960226328236,0.00021190330287078427,1.2080402327028992e-08,7.750646993125478e-07,0.11797555599219671,0.9999996094819447,0.6163933813952899,4.355164960469938e-10,0.9999081953994576,0.9655079703484124,1.0,1.0,0.9985523569335776,1.0,0.0109294985132981
accB_2~~~accB_1,0.8765740840029972,0.002998715684552027,3.464011156081182e-07,0.036968861833820546,0.39528573055533417,0.6213707959644367,0.9094938357090719,0.2656131620984219,0.9996792056878746,0.16426232532934154,1.0,1.0,0.0008123310451179064,1.0,0.27862686090727423
accC_1,0.06048031563427772,0.06047277296791714,2.52426471437241e-06,0.13153008382372347,0.49282683244571085,0.16768391896808424,0.9925267726899217,0.40840542535110874,0.9991888368778639,0.7815888082933065,1.0,1.0,0.48019615654030995,1.0,0.0007288815105866075
accC_2,0.03571899177055377,0.005115941903982172,4.659132378539969e-08,1.3638243083125065e-06,0.9970753511631388,0.9967692154109467,0.9374965319260827,6.332276549254587e-08,0.9999999960242836,0.9341001126152034,1.0,1.0,0.22230253458443347,1.0,0.0001603353287185227
accD,0.9999999996391213,0.27074590436917184,0.011672593591901318,0.00034489542532816435,0.5787411592941232,0.9997244982940923,0.9187175322983717,0.9827403992291134,0.9965949300928527,0.9620837856977424,1.0,1.0,8.774856856205558e-05,1.0,5.451114464570084e-08
ackA,0.7228038221127304,0.5412745190417487,8.195952047542463e-06,0.0031569518326930537,0.6939659605279482,0.9990927879487376,0.9969296322076326,0.314060680467408,0.0009466551307875318,0.20482763962985198,1.0,1.0,0.178080798510362,1.0,2.6594988249280094e-06
acoA,0.05779955345435733,0.9022790452166225,0.028958823176058676,0.1273711329594723,0.11766663866709053,0.9946471471559019,0.8974491081162256,0.7504165465977561,0.9523662647283168,0.9741369320807428,1.0,1.0,0.9862533526874009,1.0,0.8648111979279797
acpP,0.033725788387332,0.010491846854954696,0.029736460303659253,0.03262115936574554,0.9619634797273953,0.9946565802049732,0.19812539668784618,0.8595544008306922,0.9951186719982432,0.4822843964622907,1.0,1.0,0.9390315788624429,1.0,0.13517435063281838
acpS,0.7826825500951471,0.22589927119029174,1.2230759175591718e-05,2.7476167782811e-06,0.10858048420483311,3.9050909245780495e-05,0.9980942665655436,0.49592685468310727,0.9754544996143072,0.00019349079475167446,1.0,1.0,0.38984762801299416,1.0,6.901885626536631e-07
acsA2_2~~~acsA2_1~~~acsA2,0.14624487511705667,0.8597508323235772,0.010522957409783668,0.639259849920126,7.740209395939227e-11,0.9999959607235841,0.999957386649127,0.810012841339339,0.9887485904214116,0.13976964878479506,1.0,1.0,0.10196371978169227,1.0,2.440254352682856e-11
ada,0.9936949698468934,0.002469466628792932,2.067545393483406e-06,0.000168143347321918,0.867979898676236,0.9953265957799392,0.13218360146152125,0.013485512255753077,0.9999950328761921,0.5719261227924863,1.0,1.0,0.7572153272829257,1.0,3.3327702562781713e-13
addA,0.9807132880346698,0.9884461331742976,0.23892073831682734,0.1329828055506431,1.624468267725729e-27,0.9999997535655759,0.9834825880049831,0.6950482051589323,0.9999998992688538,0.999685947076041,1.0,1.0,0.9992344345960067,1.0,1.2913496283953825e-11
addB,0.1930078321955223,0.3405557521241584,0.0974711339714476,0.5514416884436055,0.0019256121959854914,0.9998178614357456,0.9999061867173665,0.9761301134406707,0.9999999999725243,0.9096092453999207,1.0,1.0,0.0020565132949472297,1.0,5.967071431206622e-05
adhE_2~~~adhE_3~~~adhE_1~~~adhE,0.16676717020458745,0.15999133149450487,1.5026225280150716e-05,7.754602835439591e-06,0.8141712321047376,0.01401633872546372,0.9989694354261348,0.0062418562169749125,0.9962494053673645,0.998384934243131,1.0,1.0,0.9999999992846472,1.0,2.997513543169943e-47
adk,0.9991809314783217,0.13179114776072637,0.02223569684536844,0.007685684877531447,0.9730595961634052,0.7137102139630372,0.9916439154304659,0.011393247485787543,0.8189123057346861,0.8420094477979797,1.0,1.0,8.462494744642879e-07,1.0,0.08858096515648983
aes,0.3345457998583096,0.4724336263488111,0.0003123371057096105,0.0031961992183111593,3.479423841063175e-55,0.02608833931467078,0.9999914911847341,0.08011696798811418,0.8834005781554151,0.8553543684439103,1.0,1.0,0.07819879018707289,1.0,0.9950819151557612
agrA,0.22870449740490745,0.8043629092297974,0.01189792042062506,0.055560848155098166,0.2873197297768298,0.9819623538281951,0.8733857888029124,0.30849834463776205,0.3742559684243664,0.9992072292357796,1.0,1.0,0.00892076327814864,1.0,2.6544434215513e-07
agrB_2~~~agrB~~~agrB_1,0.022151306517455116,0.9224668176844014,0.0025642400306506285,0.031440917921967,4.761528890313359e-50,0.8569842360287832,0.6719065328390684,0.325171913512162,0.9999999775735736,0.9971896501757925,1.0,1.0,0.12212790683391034,1.0,8.759409460116313e-40
ahpC,0.25542937340760713,5.613290181965967e-08,3.9335159761593166e-08,1.9077790682716173e-09,0.2811369353756782,0.999999704948194,0.41921066532270046,0.0004353166239655429,0.9999999134937164,0.9936578385564702,1.0,1.0,0.95593102707898,1.0,0.8298956478855939
ahpF,0.9985103223217525,0.026022302105485548,2.9864351491518146e-05,0.00010000859637600965,0.1291149588671966,0.9999992518796522,0.542090554160714,0.15554018966136873,0.064791810382463,0.4774712387134575,1.0,1.0,0.6108733209045412,1.0,3.1409989152314344e-13
ahrC,0.5493251574535031,3.2732894096722846e-06,2.5486325960317663e-10,2.0005936178473388e-07,0.935725060340936,0.06400669000185705,0.714309050184996,1.748144609030128e-15,0.9814714950169063,0.9992203924605556,1.0,1.0,0.5133075823191524,1.0,0.7880497974893119
ahs2,0.9903049365952143,0.0025350666932126616,3.314625087946081e-06,2.949179294584248e-07,0.026063336842222045,0.9150014855222998,0.3682077248556984,0.05689866726741194,0.9999586096766193,0.4355443606388961,1.0,1.0,0.00013821204794411328,1.0,0.9310451605533184
alaS,0.9976727372152839,0.9995880417432788,0.037988730231041906,0.9861917974904522,4.172264779555659e-26,0.9999999999532649,0.9986749033678176,0.4056841284001894,0.9072626034502729,0.9989338042263397,1.0,1.0,0.9999853042803983,1.0,3.7091076737378606e-22
ald,0.13126783846484405,1.275206837833404e-51,4.092246513895488e-10,1.781379563813122e-05,0.6625146380299198,7.381043975905609e-42,0.330395710825001,0.34116146452088725,0.7877833914667176,0.999995019837427,1.0,1.0,0.8697301194472942,1.0,0.9999553432102746
aldA_2~~~aldA_1~~~aldA,0.0034988708739041017,0.7463366807543518,2.5115812871083788e-05,0.7060756759470227,0.999989167949692,0.9997904772645075,0.9972819139788847,0.9471848703566107,0.9999400692590267,0.9999974103037561,1.0,1.0,0.3359226917616483,1.0,0.9999999981490637
aldH_2~~~aldH_1~~~aldH,0.7999891091442888,0.7502482873638578,0.033297768551694404,0.8067874755819185,0.6948283753944235,0.8139277647268974,0.813621962943353,0.9107742430704371,0.9999999999981629,0.9680367560360298,1.0,1.0,0.9988885664146268,1.0,0.0980361306444454
alr,0.998094979418697,0.01765234513124162,6.982797519916342e-10,3.2535257823118974e-10,5.7615524636260646e-05,0.004781012741001536,0.9985868497343653,0.012877931667310296,0.9990487948798592,0.057212117268350265,1.0,1.0,0.8202729284575072,1.0,4.320292301572667e-46
alr2,0.6461231594480831,0.3168644151498821,1.5667420117187987e-05,0.10781079728216204,0.9178306237679676,0.9703208015061829,0.9986034370524464,0.00012401890079370747,0.04701285789815841,0.06596335376362705,1.0,1.0,0.6468941740141326,1.0,2.745176449152314e-08
alsS,0.999376917900781,0.9994959239098274,0.36615123866954297,0.9083650044381698,1.1734678584193588e-42,0.9812181981358296,0.8437663506458907,0.8883578278255372,0.9999999828671009,0.9145551420743134,1.0,1.0,0.042787727831244016,1.0,5.599862127377421e-37
