,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
abcA,0.004713729,0.152131769,6.87E-05,0.007527961,0.940260311,0.990821357,0.980240419,0.116484126,0.999897839,0.690051533,1,1,0.004569439,1,5.30E-11
accA,0.999996023,0.000211903,1.21E-08,7.75E-07,0.117975556,0.999999609,0.616393381,4.36E-10,0.999908195,0.96550797,1,1,0.998552357,1,0.010929499
accB_2~~~accB_1,0.876574084,0.002998716,3.46E-07,0.036968862,0.395285731,0.621370796,0.909493836,0.265613162,0.999679206,0.164262325,1,1,0.000812331,1,0.278626861
accC_1,0.060480316,0.060472773,2.52E-06,0.131530084,0.492826832,0.167683919,0.992526773,0.408405425,0.999188837,0.781588808,1,1,0.480196157,1,0.000728882
accC_2,0.035718992,0.005115942,4.66E-08,1.36E-06,0.997075351,0.996769215,0.937496532,6.33E-08,0.999999996,0.934100113,1,1,0.222302535,1,0.000160335
accD,1,0.270745904,0.011672594,0.000344895,0.578741159,0.999724498,0.918717532,0.982740399,0.99659493,0.962083786,1,1,8.77E-05,1,5.45E-08
ackA,0.722803822,0.541274519,8.20E-06,0.003156952,0.693965961,0.999092788,0.996929632,0.31406068,0.000946655,0.20482764,1,1,0.178080799,1,2.66E-06
acoA,0.057799553,0.902279045,0.028958823,0.127371133,0.117666639,0.994647147,0.897449108,0.750416547,0.952366265,0.974136932,1,1,0.986253353,1,0.864811198
acpP,0.033725788,0.010491847,0.02973646,0.032621159,0.96196348,0.99465658,0.198125397,0.859554401,0.995118672,0.482284396,1,1,0.939031579,1,0.135174351
acpS,0.78268255,0.225899271,1.22E-05,2.75E-06,0.108580484,3.91E-05,0.998094267,0.495926855,0.9754545,0.000193491,1,1,0.389847628,1,6.90E-07
acsA2_2~~~acsA2_1~~~acsA2,0.146244875,0.859750832,0.010522957,0.63925985,7.74E-11,0.999995961,0.999957387,0.810012841,0.98874859,0.139769649,1,1,0.10196372,1,2.44E-11
ada,0.99369497,0.002469467,2.07E-06,0.000168143,0.867979899,0.995326596,0.132183601,0.013485512,0.999995033,0.571926123,1,1,0.757215327,1,3.33E-13
addA,0.980713288,0.988446133,0.238920738,0.132982806,1.62E-27,0.999999754,0.983482588,0.695048205,0.999999899,0.999685947,1,1,0.999234435,1,1.29E-11
addB,0.193007832,0.340555752,0.097471134,0.551441688,0.001925612,0.999817861,0.999906187,0.976130113,1,0.909609245,1,1,0.002056513,1,5.97E-05
adhE_2~~~adhE_3~~~adhE_1~~~adhE,0.16676717,0.159991331,1.50E-05,7.75E-06,0.814171232,0.014016339,0.998969435,0.006241856,0.996249405,0.998384934,1,1,0.999999999,1,3.00E-47
adk,0.999180931,0.131791148,0.022235697,0.007685685,0.973059596,0.713710214,0.991643915,0.011393247,0.818912306,0.842009448,1,1,8.46E-07,1,0.088580965
aes,0.3345458,0.472433626,0.000312337,0.003196199,3.48E-55,0.026088339,0.999991491,0.080116968,0.883400578,0.855354368,1,1,0.07819879,1,0.995081915
agrA,0.228704497,0.804362909,0.01189792,0.055560848,0.28731973,0.981962354,0.873385789,0.308498345,0.374255968,0.999207229,1,1,0.008920763,1,2.65E-07
agrB_2~~~agrB~~~agrB_1,0.022151307,0.922466818,0.00256424,0.031440918,4.76E-50,0.856984236,0.671906533,0.325171914,0.999999978,0.99718965,1,1,0.122127907,1,8.76E-40
ahpC,0.255429373,5.61E-08,3.93E-08,1.91E-09,0.281136935,0.999999705,0.419210665,0.000435317,0.999999913,0.993657839,1,1,0.955931027,1,0.829895648
ahpF,0.998510322,0.026022302,2.99E-05,0.000100009,0.129114959,0.999999252,0.542090554,0.15554019,0.06479181,0.477471239,1,1,0.610873321,1,3.14E-13
ahrC,0.549325157,3.27E-06,2.55E-10,2.00E-07,0.93572506,0.06400669,0.71430905,1.75E-15,0.981471495,0.999220392,1,1,0.513307582,1,0.788049797
ahs2,0.990304937,0.002535067,3.31E-06,2.95E-07,0.026063337,0.915001486,0.368207725,0.056898667,0.99995861,0.435544361,1,1,0.000138212,1,0.931045161
alaS,0.997672737,0.999588042,0.03798873,0.986191797,4.17E-26,1,0.998674903,0.405684128,0.907262603,0.998933804,1,1,0.999985304,1,3.71E-22
ald,0.131267838,1.28E-51,4.09E-10,1.78E-05,0.662514638,7.38E-42,0.330395711,0.341161465,0.787783391,0.99999502,1,1,0.869730119,1,0.999955343
aldA_2~~~aldA_1~~~aldA,0.003498871,0.746336681,2.51E-05,0.706075676,0.999989168,0.999790477,0.997281914,0.94718487,0.999940069,0.99999741,1,1,0.335922692,1,0.999999998
aldH_2~~~aldH_1~~~aldH,0.799989109,0.750248287,0.033297769,0.806787476,0.694828375,0.813927765,0.813621963,0.910774243,1,0.968036756,1,1,0.998888566,1,0.098036131
alr,0.998094979,0.017652345,6.98E-10,3.25E-10,5.76E-05,0.004781013,0.99858685,0.012877932,0.999048795,0.057212117,1,1,0.820272928,1,4.32E-46
alr2,0.646123159,0.316864415,1.57E-05,0.107810797,0.917830624,0.970320802,0.998603437,0.000124019,0.047012858,0.065963354,1,1,0.646894174,1,2.75E-08
alsS,0.999376918,0.999495924,0.366151239,0.908365004,1.17E-42,0.981218198,0.843766351,0.888357828,0.999999983,0.914555142,1,1,0.042787728,1,5.60E-37
amoA,0.322394196,y,5.22E-08,0.141584405,0.822161143,0.932336817,0.994418872,0.000793312,0.99999992,0.990296927,1,1,0.69062664,1,0.001435521
ampA,0.83678967,0.371557582,0.00229846,0.019390696,0.670739459,0.946303704,0.90508182,0.11690582,0.998619035,0.421554967,1,1,0.505692834,1,0.2793077
ampC_1~~~ampC~~~ampC_2,0.99986186,0.999748175,0.269925909,0.255466773,6.85E-07,0.999981658,0.998511691,0.744919444,0.678604325,0.887472759,1,1,0.008052569,1,2.04E-31
ampS,0.955078179,0.998717568,0.460373843,0.989014481,4.46E-38,0.000286495,0.968568763,0.737607529,0.611303231,0.99997001,1,1,0.994971453,1,0.019009192
ansA~~~ansA_1~~~ansA_2,4.79E-05,2.00E-46,0.020642988,0.013630809,0.983840183,0.990102484,0.528854252,0.783508638,0.998733445,0.148272926,1,1,0.134159221,1,3.13E-67
apbA,0.999998575,0.973123984,0.194842042,0.640583696,0.868040167,1.44E-37,0.999754525,0.830426683,0.957616539,0.068280659,1,1,8.05E-08,1,2.23E-06
