strain,OXA-RS,CIP-RS,LEV-RS,MXF-RS,GEN-RS,TET-RS,ERY-RS,SMZ-RS,CLI-RS,FOS-RS,VAN-RS,LNZ-RS,TEC-RS,DAP-RS,RIF-RS
AR3992,R,R,R,I,S,S,R,R,R,S,S,S,S,S,S
AR3993,R,R,R,I,S,S,R,S,R,S,S,S,S,S,S
AR3994,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR3995,R,R,R,I,S,S,S,S,S,S,S,S,S,S,S
AR3996,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR3997,R,R,R,I,S,S,S,S,S,S,S,S,S,S,S
AR3998,S,f,S,S,S,S,S,S,S,S,S,S,I,S,S
AR4000,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR4001,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR4002,R,R,R,R,R,S,R,R,R,R,S,S,S,S,R
AR4004,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4005,R,R,R,R,R,R,R,S,S,S,S,S,I,S,S
AR4006,R,S,S,S,R,S,R,R,S,S,S,S,S,S,S
AR4007,R,R,R,R,R,R,R,S,S,S,S,S,S,S,S
AR4008,R,S,S,S,I,S,R,S,S,S,S,S,S,S,S
AR4009,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR4010,R,R,R,I,R,S,R,S,S,R,S,S,S,S,S
AR4011,R,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR4012,R,R,R,I,S,S,R,R,R,S,S,S,S,S,S
AR4013,R,R,R,R,R,R,R,R,S,S,S,S,S,S,S
AR4014,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR4016,R,R,R,R,R,S,R,R,R,S,S,S,S,S,R
AR4017,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4019,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4020,R,S,S,S,S,R,R,S,R,R,S,S,S,S,S
AR4021,R,S,S,S,R,S,S,R,S,S,S,S,S,S,S
AR4022,R,R,I,I,S,S,R,R,S,S,S,S,S,S,S
AR4023,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4024,R,I,S,S,S,R,R,R,S,S,S,S,S,S,S
AR4025,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4026,S,S,S,S,S,S,R,S,R,S,S,S,S,S,S
AR4027,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4028,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4029,R,S,S,S,R,S,S,S,S,S,S,S,S,S,S
AR4030,R,R,R,R,R,S,R,R,S,S,S,S,S,S,S
AR4031,S,I,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4032,R,R,R,R,S,S,R,R,R,S,S,S,S,S,S
AR4035,R,R,R,R,R,S,S,R,S,S,S,S,S,S,S
AR4036,R,I,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4037,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4038,R,R,R,I,S,S,R,S,S,S,S,S,S,S,S
AR4039,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4040,R,R,R,I,S,S,R,S,I,S,S,S,S,S,S
AR4041,R,R,I,S,S,S,S,S,S,S,S,S,S,S,S
AR4042,R,R,R,R,R,S,S,R,S,S,S,S,S,S,S
AR4043,R,R,I,I,S,S,S,S,S,S,S,S,S,S,S
AR4044,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4045,S,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR4046,R,R,R,R,S,S,R,S,S,S,S,S,S,S,S
AR4047,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4048,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4050,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4054,R,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4055,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S
AR4056,R,I,S,S,S,R,R,R,S,S,S,S,S,S,S
AR4057,R,R,R,I,S,R,R,S,S,S,S,S,S,S,S
AR4058,S,R,R,I,S,S,R,R,S,S,S,S,S,S,S
AR4059,R,R,R,I,R,S,R,R,R,S,S,S,S,S,S
AR4064,R,R,R,R,R,S,R,S,S,S,S,S,S,S,S
AR4065,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4066,R,R,I,I,S,S,R,R,S,S,S,S,S,S,S
AR4067,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4069,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4070,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4071,R,S,S,S,S,S,I,R,S,S,S,S,S,S,S
AR4072,R,R,R,R,R,S,R,R,R,R,S,S,S,S,R
AR4073,R,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4075,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4076,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S
AR4077,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
AR4078,R,R,R,I,R,R,R,S,R,S,S,S,S,S,S
AR4079,R,R,R,R,S,S,R,S,R,S,S,S,S,S,S
AR4080,R,S,S,S,S,R,R,S,S,S,S,S,S,S,S
AR4081,R,S,S,S,R,S,R,S,R,S,S,S,S,S,S
AR4082,R,S,S,S,S,S,R,R,S,S,S,S,S,S,S
AR4083,R,R,R,R,R,S,I,R,S,S,S,S,S,S,S
AR4084,R,S,S,S,R,S,R,S,S,S,S,S,S,S,S
AR4085,R,S,S,S,S,S,I,S,S,S,S,S,S,S,S
